"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"49","RT @AlifKamal__: Pengusahanya ngeluh
Masyrakatnya ngeluh

Tanggungjawab pemerintah???

https://t.co/wzxj9JXrZe",FALSE,0,NA,2021-11-19 14:26:31,FALSE,NA,"1461702433130745858",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AbiAndar",4,TRUE,FALSE,NA,NA
"50","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 13:52:06,FALSE,NA,"1461693768449413130",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","salehhaji5",441,TRUE,FALSE,NA,NA
"51","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 13:41:03,FALSE,NA,"1461690991761526789",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","je_born",441,TRUE,FALSE,NA,NA
"52","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 13:11:53,FALSE,NA,"1461683649435242498",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EMukyawan",441,TRUE,FALSE,NA,NA
"53","RT @LuqmanBeeNKRI: Perluasan zona wajib PCR berbanding lurus dg naiknya laba tes PCR. 

Siapa pun bisa kaya dg bisnis seperti itu: ditopang…",FALSE,0,NA,2021-11-19 11:41:09,FALSE,NA,"1461660816013287431",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sholeh_Bee",7,TRUE,FALSE,NA,NA
"54","RT @dpkprimaJakpus: ketua Marwan Djalil bersama Ketua DPW Sulut jimmy tindi ikut hadir mendukung SRMI melakukan aksi ke KPK agar memanggil…",FALSE,0,NA,2021-11-19 10:57:31,FALSE,NA,"1461649837116780544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Muhamma_Ridwan1",5,TRUE,FALSE,NA,NA
"55","RT @dpkprimaJakpus: ketua Marwan Djalil bersama Ketua DPW Sulut jimmy tindi ikut hadir mendukung SRMI melakukan aksi ke KPK agar memanggil…",FALSE,0,NA,2021-11-19 10:56:03,FALSE,NA,"1461649466893602819",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bung_Rachmat_",5,TRUE,FALSE,NA,NA
"56","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 10:54:22,FALSE,NA,"1461649040886546435",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","agususanto212",441,TRUE,FALSE,NA,NA
"57","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 09:39:34,FALSE,NA,"1461630218985095170",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bicis0061",441,TRUE,FALSE,NA,NA
"58","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 09:06:36,FALSE,NA,"1461621920495910914",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Abahozan1",441,TRUE,FALSE,NA,NA
